"","mouse_uni","shared_gene","human_uni"
"3323","Q921G6","LRCH4","O75427"
"3324","Q3URE9","LINGO2","Q7L985"
"3325","Q8BVU0","LRCH3","Q96II8"
"3326","Q9WVG5","LIPG","Q9Y5X9"
"3327","Q8R4F0","MCOLN3","Q8TDD5"
"3328","Q8K2P1","LURAP1L","Q8IV03"
"3329","Q8R033","LYRM2","Q9NU23"
"3330","P0DN34","NDUFB1","O75438"
"3331","Q9CQJ8","NDUFB9","Q9Y6M9"
"3332","Q9DCS9","NDUFB10","O96000"
"3333","Q8BLF1","NCEH1","Q6PIU2"
"3334","Q0VF94","NKPD1","Q17RQ9"
"3335","Q60795","NFE2L2","Q16236"
"3336","Q8VCQ3","NRBF2","Q96F24"
"3337","Q8BJ71","NUP93","Q8N1F7"
"3338","Q497P3","NUPR2","A6NF83"
"3339","A6H603","NWD1","Q149M9"
"3340","Q3UZZ4","OLFM4","Q6UX06"
"3341","Q9QXK3","COPG2","Q9UBF2"
"3342","Q8R1S0","COQ6","Q9Y2Z9"
"3343","Q99L85","ELP5","Q8TE02"
"3344","Q9Z0E6","GBP2","P32456"
"3345","Q69ZL1","FGD6","Q6ZV73"
"3346","Q80UZ0","FGD5","Q6ZNL6"
"3347","Q61559","FCGRT","P55899"
"3348","O70497","FCN2","Q15485"
"3349","P54130","FGF9","P31371"
"3350","Q8BYG9","EPHA10","Q5JZY3"
"3351","Q9R1Y5","HIC1","Q14526"
"3352","Q3U0P5","ENTPD6","O75354"
"3353","Q6NZM9","HDAC4","P56524"
"3354","Q9JLZ6","HIC2","Q96JB3"
"3355","P29416","HEXA","P06865"
"3356","Q9Z2V6","HDAC5","Q9UQL6"
"3357","Q8R1F6","HID1","Q8IV36"
"3358","Q75VT8","HIDE1","A8MVS5"
"3359","P20060","HEXB","P07686"
"3360","Q3U4H6","HEXD","Q8WVB3"
"3361","Q9QVP9","PTK2B","Q14289"
"3362","Q5XJY6","FANCB","Q8NB91"
"3363","P81069","GABPB2","Q8TAK5"
"3364","Q99JG2","GPR37L1","O60883"
"3365","Q61835","FXYD3","Q14802"
"3366","Q5F2L2","FUT10","Q6P4F1"
"3367","B2RSH2","GNAI1","P63096"
"3368","Q8BH60","GOPC","Q9HD26"
"3369","P14220","GYPA","P02724"
"3370","Q61586","GPAM","Q9HCL2"
"3371","Q80Y14","GLRX5","Q86SX6"
"3372","Q8C0L9","GPCPD1","Q9NPB8"
"3373","Q923Z0","GPRC5B","Q9NZH0"
"3374","Q8C5Q4","GRSF1","Q12849"
"3375","Q9QZQ8","MACROH2A1","O75367"
"3376","Q8K114","INTS9","Q9NV88"
"3377","Q9D3N8","GRTP1","Q5TC63"
"3378","Q5DTX6","JCAD","Q9P266"
"3379","Q3TCV3","GSAP","A4D1B5"
"3380","Q9ESZ8","GTF2I","P78347"
"3381","Q6Y4S4","KISS1","Q15726"
"3382","Q60760","GRB10","Q13322"
"3383","Q91WN4","KMO","O15229"
"3384","Q80U59","KIAA0232","Q92628"
"3385","P97494","GCLC","P48506"
"3386","P10518","ALAD","P13716"
"3387","P11352","GPX1","P07203"
"3388","Q8VC88","GCA","P28676"
"3389","A2A9F4","KDF1","Q8NAX2"
"3390","Q9R098","HGFAC","Q04756"
"3391","P70349","HINT1","P49773"
"3392","P43120","HHEX","Q03014"
"3393","O54792","HES2","Q9Y543"
"3394","Q9JJC9","HERPUD2","Q9BSE4"
"3395","Q76I25","HIGD1C","A8MV81"
"3396","P27889","HNF1B","P35680"
"3397","P09065","EN1","Q05925"
"3398","P14719","IL1RL1","Q01638"
"3399","P01592","JCHAIN","P01591"
"3400","A8E0Y8","CD101","Q93033"
"3401","P48794","SPAM1","P38567"
"3402","Q8R5F7","IFIH1","Q9BYX4"
"3403","Q60819","IL15RA","Q13261"
"3404","Q9JHR7","IDE","P14735"
"3405","O35344","KPNA3","O00505"
"3406","A6H690","IQCA1L","A6NCM1"
"3407","Q9Z0Y7","IRS4","O14654"
"3408","Q9JKF1","IQGAP1","P46940"
"3409","Q61790","LAG3","P18627"
"3410","P11438","LAMP1","P11279"
"3411","Q02496","MUC1","P15941"
"3412","O08601","MTTP","P55157"
"3413","Q9CZU3","MTREX","P42285"
"3414","P17892","PNLIPRP2","P54317"
"3415","Q3UZ45","MCIDAS","D6RGH6"
"3416","Q9WTL7","LYPLA2","O95372"
"3417","P97287","MCL1","Q07820"
"3418","Q62082","MYL10","Q9BUA6"
"3419","Q99M51","NCK1","P16333"
"3420","Q8K3J1","NDUFS8","O00217"
"3421","Q91VD9","NDUFS1","P28331"
"3422","P28660","NCKAP1","Q9Y2A7"
"3423","Q9CXK8","NIP7","Q9Y221"
"3424","Q61026","NCOA2","Q15596"
"3425","Q9JL19","NCOA6","Q14686"
"3426","Q6DFV7","NCOA7","Q8NI08"
"3427","Q8CH40","NUDT6","P53370"
"3428","Q9ES82","POPDC2","Q9HBU9"
"3429","Q9CZ57","NSUN4","Q96CB9"
"3430","P45448","NR5A2","O00482"
"3431","P11930","NUDT19","A8MXV4"
"3432","Q9CS84","NRXN1","Q9ULB1"
"3433","Q9CS84","NRXN1","P58400"
"3434","Q8BMA5","NPAT","Q14207"
"3435","Q60829","PPP1R1B","Q9UD71"
"3436","Q8BHN0","PPM1L","Q5SGD2"
"3437","Q64693","POU2AF1","Q16633"
"3438","Q8K2Y0","OBI1","Q5W0B1"
"3439","Q8K1H9","OBP2A","Q9NY56"
"3440","D3YYU8","OBSL1","O75147"
"3441","Q6VZZ7","OPN5","Q6U736"
"3442","Q9D611","OCSTAMP","Q9BR26"
"3443","Q9CWU9","NUP37","Q8NFH4"
"3444","Q8R480","NUP85","Q9BW27"
"3445","Q920N1","ODF3","Q96PU9"
"3446","Q61199","NXPH2","O95156"
"3447","P61967","AP1S1","P61966"
"3448","Q3U3W5","PRMT9","Q6P2P2"
"3449","P61208","ARL4C","P56559"
"3450","P48036","ANXA5","P08758"
"3451","O70589","CASK","O14936"
"3452","Q8CFY5","COX10","Q12887"
"3453","Q8CJF7","AHCTF1","Q8WYP5"
"3454","Q7TNG5","EML2","O95834"
"3455","Q91YR5","METTL13","Q8N6R0"
"3456","P08046","EGR1","P18146"
"3457","Q9D8U3","ERP27","Q96DN0"
"3458","E9PXT9","FAM170B","A6NMN3"
"3459","P07321","EPO","P01588"
"3460","O08716","FABP9","Q0Z7S8"
"3461","Q8BP78","FRA10AC1","Q70Z53"
"3462","Q8C739","FAM110B","Q8TC76"
"3463","Q9DAA6","EXOSC1","Q9Y3B2"
"3464","Q9CVI2","FAM133B","Q5BKY9"
"3465","Q8QZS3","FLCN","Q8NFG4"
"3466","Q8C4V4","FBXL3","Q9UKT7"
"3467","Q2TB54","FCAMR","Q8WWV6"
"3468","Q920L1","FADS1","O60427"
"3469","O88842","FGD3","Q5JSP0"
"3470","A2AFR3","FRMPD4","Q14CM0"
"3471","E9Q8I9","FRY","Q5TBA9"
"3472","Q60687","FSHB","P01225"
"3473","P35378","FSHR","P23945"
"3474","Q80T14","FRAS1","Q86XX4"
"3475","Q9D5H4","FTMT","Q8N4E7"
"3476","Q8CG73","RPGRIP1L","Q68CZ1"
"3477","Q5STE3","FSTL4","Q6MZW2"
"3478","P35584","FOXA3","P55318"
"3479","Q3I5G5","FOXI2","Q6ZQN5"
"3480","Q8CCH7","ZFPM2","Q8WW38"
"3481","Q3UCQ1","FOXK2","Q01167"
"3482","Q99JB6","FOXP3","Q9BZS1"
"3483","P58462","FOXP1","Q9H334"
"3484","Q6RFH4","GCSAM","Q8N6F7"
"3485","P50153","GNG4","P50150"
"3486","Q8CHG3","GCC2","Q8IWJ2"
"3487","Q8BKT3","GCFC2","P16383"
"3488","Q9D6F4","GABRA4","P48169"
"3489","Q01514","GBP1","P32455"
"3490","O55222","ILK","Q13418"
"3491","Q80W93","HYDIN","Q4G0P3"
"3492","E9Q956","MCMDC2","Q4G0Z9"
"3493","Q8CHK3","MBOAT7","Q96N66"
"3494","Q9CYI4","LUC7L","Q9NQ29"
"3495","Q9D7Z7","LYPD5","Q6UWN5"
"3496","Q9D7S0","LYPD8","Q6UX82"
"3497","Q60805","MERTK","Q12866"
"3498","Q8R1M8","MPTX1","A8MV57"
"3499","Q9D2Y4","MLKL","Q8NB16"
"3500","P27106","AMH","P03971"
"3501","Q8BLU2","METTL21C","Q5VZV1"
"3502","Q9JJP2","TP73","O15350"
"3503","Q9Z2C4","MTMR1","Q13613"
"3504","Q9R0L9","CD164","Q04900"
"3505","P13705","MSH3","P20585"
"3506","Q9CQ65","MTAP","Q13126"
"3507","Q8BJS8","MTBP","Q96DY7"
"3508","Q9D6Y7","MSRA","Q9UJ68"
"3509","Q91W45","PAIP2B","Q9ULR5"
"3510","Q9D0B6","PBDC1","Q9BVG4"
"3511","Q9CRB8","MTFP1","Q9UDX5"
"3512","P55086","F2RL1","P55085"
"3513","Q9WVP9","MX2","P20592"
"3514","Q9CZH7","MXRA7","P84157"
"3515","Q8BM54","MYLIP","Q8WY64"
"3516","Q03391","GRIN2D","O15399"
"3517","Q9CPU2","NDUFB2","O95178"
"3518","Q0MW30","NEURL1B","A8MQ27"
"3519","Q9D0S4","NEURL2","Q9BR09"
"3520","O88425","NME6","O75414"
"3521","P35454","OXT","P01178"
"3522","P70255","NFIC","P08651"
"3523","O70584","NKX2-8","O15522"
"3524","Q8BZR9","NCBP3","Q53F19"
"3525","P97305","NFATC3","Q12968"
"3526","Q9JMH7","NEU3","Q9UQ49"
"3527","Q4FZG9","NDUFA4L2","Q9NRX3"
"3528","Q9JI75","NQO2","P16083"
"3529","Q9R1J0","NSDHL","Q15738"
"3530","P03899","MT-ND3","P03897"
"3531","Q3U0K8","OGFOD1","Q8N543"
"3532","Q80ZE4","PAQR7","Q86WK9"
"3533","Q9WVD5","SLC25A15","Q9Y619"
"3534","P14824","ANXA6","P08133"
"3535","P81269","ATF1","P18846"
"3536","P24721","ASGR2","P07307"
"3537","Q06507","ATF4","P18848"
"3538","O08785","CLOCK","O15516"
"3539","Q91ZT8","ASB9","Q96DX5"
"3540","Q02067","ASCL1","P50553"
"3541","Q9Z1F6","CNMD","O75829"
"3542","Q6PIE5","ATP1A2","P50993"
"3543","Q61330","CNTN2","Q02246"
"3544","Q9JKK8","ATR","Q13535"
"3545","Q9DCX2","ATP5PD","O75947"
"3546","Q9DCA5","BRIX1","Q8TDN6"
"3547","Q9QUN3","BLNK","Q8WV28"
"3548","P0DM65","BECN2","A8MW95"
"3549","P62325","BTG1","P62324"
"3550","Q9ESU6","BRD4","O60885"
"3551","P28662","BRI3","O95415"
"3552","O35425","BOK","Q9UMX3"
"3553","P38649","ABO","P16442"
"3554","Q60720","CYB561","P49447"
"3555","Q8CEI1","BOLA3","Q53S33"
"3556","Q07440","BCL2A1","Q16548"
"3557","Q8VE73","CUL7","Q14999"
"3558","Q9CW73","B3GAT1","Q9P2W7"
"3559","P0DP43","CATSPERE","Q5SY80"
"3560","Q3USF0","B3GNT6","Q6ZMB0"
"3561","Q9CQP8","CATSPERZ","Q9NTU4"
"3562","P16283","SLC4A3","P48751"
"3563","O54904","B3GALT1","Q9Y5Z6"
"3564","O54905","B3GALT2","O43825"
"3565","O35284","BATF","Q16520"
"3566","Q99LD4","GPS1","Q13098"
"3567","Q9JI67","B3GALT5","Q9Y2C3"
"3568","Q8BWP8","B4GAT1","O43505"
"3569","P59055","CSRNP3","Q8WYN3"
"3570","Q09200","B4GALNT1","Q00973"
"3571","P28235","GJA4","P35212"
"3572","Q09199","B4GALNT2","Q8NHY0"
"3573","P97315","CSRP1","P21291"
"3574","A2APF3","CTCFL","Q8NI51"
"3575","Q3V079","BBOF1","Q8ND07"
"3576","Q9R1S0","B9D1","Q9UPM9"
"3577","Q8VHV1","BAALC","Q8WXS3"
"3578","Q00977","GJB2","P29033"
"3579","Q7TSG2","CTDP1","Q9Y5B0"
"3580","Q8C1Z7","BBS4","Q96RK4"
"3581","P58466","CTDSP1","Q9GZU7"
"3582","Q65CL1","CTNNA3","Q9UI47"
"3583","Q08331","CALB2","P22676"
"3584","P12658","CALB1","P05937"
"3585","P70269","CTSE","P14091"
"3586","Q3ULM0","CCDC106","Q9BWC9"
"3587","Q9JJN5","CPN1","P15169"
"3588","P0C7Q1","CCDC153","Q494R4"
"3589","Q6RUT8","CCDC154","A6NI56"
"3590","A0A140LIT1","CCDC194","A0A1B0GVG4"
"3591","Q8BYR5","CADPS2","Q86UW7"
"3592","Q8K2D6","DCTD","P32321"
"3593","Q5RJH3","CDH12","P55289"
"3594","Q8VEG0","CCDC71","Q8IV32"
"3595","O88992","C1QL1","O75973"
"3596","Q8R2G6","CCDC80","Q76M96"
"3597","Q8VHW3","CACNG6","Q9BXT2"
"3598","Q922D8","MTHFD1","P11586"
"3599","Q8VHC5","CABP4","P57796"
"3600","Q02105","C1QC","P02747"
"3601","Q8R3J5","CHAC1","Q9BUX1"
"3602","Q8R422","CD109","Q6YHK3"
"3603","A2AE42","CYB561D1","Q8N8Q1"
"3604","A0A1W2P884","CEP85L","Q5SZL2"
"3605","Q3URR0","CENPW","Q5EE01"
"3606","O55233","CER1","O95813"
"3607","Q8BGD8","COA6","Q5JTJ3"
"3608","Q8BHB9","CLIC6","Q96NY7"
"3609","P09174","PDE6G","P18545"
"3610","Q05306","COL10A1","Q03692"
"3611","Q9Z2B5","EIF2AK3","Q9NZJ5"
"3612","Q3TLR7","DTL","Q9NZJ0"
"3613","Q9Z0E2","CHRD","Q9H2X0"
"3614","O88507","CNTFR","P26992"
"3615","Q9WUB6","CLCNKB","P51801"
"3616","Q8CBC4","CNST","Q6PJW8"
"3617","Q9JJV0","CRYBA4","P53673"
"3618","Q920M5","CORO6","Q6QEF8"
"3619","O35486","CRYGS","P22914"
"3620","Q0VE82","CPNE7","Q9UBL6"
"3621","Q8BT60","CPNE3","O75131"
"3622","Q3THF9","COQ10B","Q9H8M1"
"3623","Q9JIF7","COPB1","P53618"
"3624","P26011","ITGB7","P26010"
"3625","A0A088MLT8","IQCJ-SCHIP1","B3KU38"
"3626","Q9ER75","IRX6","P78412"
"3627","P63248","PKIA","P61925"
"3628","Q8BJ66","KAZALD1","Q96I82"
"3629","Q05CL8","LARP7","Q4G0J3"
"3630","Q924P3","LCN8","Q6JVE9"
"3631","Q61033","TMPO","P42166"
"3632","Q61033","TMPO","P42167"
"3633","Q8CHZ8","DLEU7","Q6UYE1"
"3634","Q9D1T0","LINGO1","Q96FE5"
"3635","P48999","ALOX5","P09917"
"3636","P97310","MCM2","P49736"
"3637","Q924L1","LETMD1","Q6P1Q0"
"3638","A2AEY4","MAP7D3","Q8IWC1"
"3639","Q8BL03","SLC25A29","Q8N8R3"
"3640","Q8CIV2","TMEM259","Q4ZIN3"
"3641","Q61865","MIA","Q16674"
"3642","Q9CZ82","MED18","Q9BUE0"
"3643","A6H5Y3","MTR","Q99707"
"3644","Q9D4W2","MFI","Q8NCR3"
"3645","Q3V1N1","MFHAS1","Q9Y4C4"
"3646","Q9D306","MGAT4C","Q9UBM8"
"3647","A2RST1","MGST2","Q99735"
"3648","Q63932","MAP2K2","P36507"
"3649","Q61200","NXPH1","P58417"
"3650","Q9JK91","MLH1","P40692"
"3651","Q8K2C7","OS9","Q13438"
"3652","Q8VDV8","MITD1","Q8WV92"
"3653","Q8BZG5","METTL25B","Q96FB5"
"3654","Q9JK54","MSGN1","A6NI15"
"3655","Q8JZM8","MUC4","Q99102"
"3656","Q9CQF4","MTRES1","Q9P0P8"
"3657","Q8R3J4","MTERF3","Q96E29"
"3658","Q02395","MTF2","Q9Y483"
"3659","O88282","BCL6B","Q8N143"
"3660","Q05928","BTC","P35070"
"3661","Q9D219","BCL9","O00512"
"3662","D3YZV8","CCDC8","Q9H0W5"
"3663","O88875","CD160","O95971"
"3664","O54689","CCR6","P51684"
"3665","O89114","DNAJB5","O75953"
"3666","Q9JKC6","CEND1","Q8N111"
"3667","Q9QYI7","DNAJB8","Q8NHS0"
"3668","O54788","DFFB","O76075"
"3669","Q99L43","CDS2","O95674"
"3670","Q9D5R3","CEP83","Q9Y592"
"3671","Q6IRU7","CEP78","Q5JTW2"
"3672","Q4VAA2","CDV3","Q9UKY7"
"3673","Q9CZX2","CEP89","Q96ST8"
"3674","Q8BGS7","CEPT1","Q9Y6K0"
"3675","Q924Z4","CERS2","Q96G23"
"3676","Q99J56","DERL1","Q9BUN8"
"3677","Q810M1","CFAP299","Q6V702"
"3678","Q6PE87","CFAP206","Q8IYR0"
"3679","Q8K4Q7","CERK","Q8TCT0"
"3680","Q8VDS7","CEP57L1","Q8IYX8"
"3681","A0JLY1","CFAP210","Q0VFZ6"
"3682","A2ALW5","DNAJC25","Q9H1X3"
"3683","Q8CFP6","DNAJC27","Q9NZQ0"
"3684","Q8VCE1","DNAJC28","Q9NX36"
"3685","P37913","LIG1","P18858"
"3686","P59041","DNAJC30","Q96LL9"
"3687","Q8BVI4","QDPR","P09417"
"3688","Q61147","CP","P00450"
"3689","A0A0G2JEB6","CFAP47","Q6ZTR5"
"3690","P53566","CEBPA","P49715"
"3691","Q8K2I2","CCHCR1","Q8TD31"
"3692","P53702","HCCS","P53701"
"3693","Q9D180","CFAP57","Q96MR6"
"3694","Q9D439","CFAP53","Q96M91"
"3695","Q9Z0H0","CDC7","O00311"
"3696","P09240","CCK","P06307"
"3697","Q3V3A1","CDK15","Q96Q40"
"3698","O89093","CCL20","P78556"
"3699","J3QPZ5","CFAP73","A6NFT4"
"3700","E9Q2Z1","CECR2","Q9BXF3"
"3701","Q61458","CCNH","P51946"
"3702","Q5SRT8","CCNJL","Q8IV13"
"3703","P56389","CDA","P32320"
"3704","P06909","CFH","P08603"
"3705","P30882","CCL5","P13501"
"3706","Q9JLQ0","CD2AP","Q9Y5K6"
"3707","Q9QWV9","CCNT1","O60563"
"3708","Q8VBZ0","DHRSX","Q8N5I4"
"3709","Q7M6Y5","DEUP1","Q05D60"
"3710","Q3UHG7","DENND11","A4D1U4"
"3711","E9Q7P9","CDHR2","Q9BYE9"
"3712","Q80UP3","DGKZ","Q13574"
"3713","Q8VCC6","CCM2L","Q9NUG4"
"3714","Q924W7","DENND2B","P78524"
"3715","Q63994","CD33","P20138"
"3716","Q8K2Y9","CCM2","Q9BSQ5"
"3717","P56528","CD38","P28907"
"3718","Q8R373","CLMP","Q9H6B4"
"3719","Q9D486","CMIP","Q8IY22"
"3720","Q3U2J5","CAMKMT","Q7Z624"
"3721","Q9QUK3","CLN8","Q9UBY8"
"3722","P29974","CNGA1","P29973"
"3723","Q9JJZ8","CNGA3","Q16281"
"3724","Q9QZE2","CLNK","Q7Z7G1"
"3725","Q9JJZ9","CNGB3","Q9NQW8"
"3726","Q9JJU9","CRYBB3","P26998"
"3727","Q61597","CRYGC","P07315"
"3728","Q8BLR2","CPNE4","Q96A23"
"3729","Q9Z319","CORIN","Q9Y5Q5"
"3730","Q9JKJ9","CYP39A1","Q9NYL5"
"3731","Q7TN99","CPEB3","Q8NE35"
"3732","Q61387","COX7A2L","O14548"
"3733","Q8K0C4","CYP51A1","Q16850"
"3734","O88668","CREG1","O75629"
"3735","Q8BKE6","CYP20A1","Q6UW02"
"3736","Q9R0G6","COMP","P49747"
"3737","Q8BFR5","TUFM","P49411"
"3738","P0DMC4","APELA","P0DMC3"
"3739","Q03173","ENAH","Q8N8S7"
"3740","P52801","EFNA2","O43921"
"3741","Q8VDK3","ELF5","Q9UKW6"
"3742","P41158","ELK4","P28324"
"3743","Q9CXP9","EXO5","Q9H790"
"3744","Q3TNH5","FAM172A","Q8WUF8"
"3745","Q9DAZ5","FAM174C","Q9BVV8"
"3746","Q4FZH1","FAM189A2","Q15884"
"3747","Q8BGR5","FAM53B","Q14153"
"3748","P70428","EXT2","Q93063"
"3749","Q8BYW9","EOGT","Q5NDL2"
"3750","O54839","EOMES","O95936"
"3751","O35387","HAX1","O00165"
"3752","P28798","GRN","P28799"
"3753","Q9WV38","SLC2A5","P22732"
"3754","O70325","GPX4","P36969"
"3755","Q8R1M2","H2AJ","Q9BTM1"
"3756","B9EJV3","GREB1L","Q9C091"
"3757","Q9EQG7","ENPP5","Q9UJA9"
"3758","Q80TA9","EPG5","Q9HCE0"
"3759","O08644","EPHB6","O15197"
"3760","A1YIY0","FCRL6","Q6DN72"
"3761","Q61576","FKBP10","Q96AY3"
"3762","Q60634","FLOT2","Q14254"
"3763","Q9QXW0","FBXL6","Q8N531"
"3764","Q8BPB5","EFEMP1","Q12805"
"3765","Q08879","FBLN1","P23142"
"3766","O88621","FOXH1","O75593"
"3767","Q8K2I1","FNTB","P49356"
"3768","Q9JL56","GDE1","Q9NZC3"
"3769","Q571F8","GLS2","Q9UI32"
"3770","A2RT60","HTRA4","P83105"
"3771","O35166","GOSR2","O14653"
"3772","Q9Z282","GPR132","Q9UNW8"
"3773","P51163","UROS","P10746"
"3774","P0DOV1","MNDA","P41218"
"3775","Q3UTA9","EIF4E1B","A6NMX2"
"3776","Q5RKR3","ISLR2","Q6UXK2"
"3777","Q9JL16","ISG20","Q96AZ6"
"3778","Q8BYN3","ITPK1","Q13572"
"3779","Q6P1Y8","INPP4B","O15327"
"3780","Q8R4K2","IRAK4","Q9NWZ3"
"3781","Q9D3I6","KRTAP7-1","Q8IUC3"
"3782","Q8CGA3","SLC43A2","Q8N370"
"3783","Q99JT5","KRCC1","Q9NPI7"
"3784","Q8K1S7","KREMEN2","Q8NCW0"
"3785","Q6S5J6","KRIT1","O00522"
"3786","Q7TPS0","RPS6KA6","Q9UK32"
"3787","P29752","LALBA","P00709"
"3788","Q8BLK9","RPS6KC1","Q96S38"
"3789","P35951","LDLR","P01130"
"3790","Q61595","KTN1","Q86UP2"
"3791","Q8CGK3","LONP1","P36776"
"3792","Q925H2","KRTAP19-1","Q8IUB9"
"3793","Q8BM14","LIPK","Q5VXJ0"
"3794","P11152","LPL","P06858"
"3795","Q69ZB0","LRRCC1","Q9C099"
"3796","Q9EQR5","LIME1","Q9H400"
"3797","Q8C561","LMBRD2","Q68DH5"
"3798","Q9D0E3","LYSMD1","Q96S90"
"3799","Q9JHF9","LY96","Q9Y6Y9"
"3800","Q8JZL2","MCHR1","Q99705"
"3801","Q9D0L8","RNMT","O43148"
"3802","Q2KHI9","MCM9","Q9NXL9"
"3803","Q9D114","HDDC3","Q8N4P3"
"3804","Q6P5G3","MBTD1","Q05BQ5"
"3805","Q80YQ2","MED23","Q9ULK4"
"3806","Q920G8","SLC25A37","Q9NYZ2"
"3807","Q8R1C6","METTL22","Q9BUU2"
"3808","Q9DCS3","MECR","Q9BV79"
"3809","Q3U034","METTL4","Q8N3J2"
"3810","Q61847","MEP1B","Q16820"
"3811","O70126","AURKB","Q96GD4"
"3812","Q769J6","ADAMTS13","Q76LX8"
"3813","Q80TT2","BAIAP3","O94812"
"3814","Q3UAW9","BRF2","Q9HAW0"
"3815","Q67FY2","BCL9L","Q86UU0"
"3816","Q8C7E9","CSTF2T","Q9H0L4"
"3817","O54918","BCL2L11","O43521"
"3818","P82198","TGFBI","Q15582"
"3819","Q80W99","CATSPER3","Q86XQ3"
"3820","Q6E1M8","AWAT2","Q6E213"
"3821","Q8BVN3","CATSPER4","Q7RTX7"
"3822","P59270","B3GAT2","Q9NPZ5"
"3823","Q8BG28","B3GALNT2","Q8NCR0"
"3824","Q91XV3","BASP1","P80723"
"3825","P48771","COX7A2","P14406"
"3826","Q99J10","CTU1","Q7Z7A3"
"3827","P61202","COPS2","P61201"
"3828","Q6P1H1","CYB561A3","Q8NBI2"
"3829","Q3U308","CTU2","Q2VPK5"
"3830","Q8BGQ2","CSRNP2","Q9H175"
"3831","Q64448","GJA3","Q9Y6H8"
"3832","Q91YE5","BAZ2A","Q9UIF9"
"3833","Q9QYP6","AZI2","Q9H6S1"
"3834","O88543","COPS3","Q9UNS2"
"3835","Q9CWL8","CTNNBL1","Q8WYA6"
"3836","P97314","CSRP2","Q16527"
"3837","Q01231","GJA5","P36382"
"3838","Q9CX80","CYGB","Q8WWM9"
"3839","P50462","CSRP3","P50461"
"3840","P28236","GJA8","P48165"
"3841","Q9QX11","CYTH1","Q15438"
"3842","O88712","CTBP1","Q13363"
"3843","A0A1B0GST9","CTXND1","A0A1B0GTU2"
"3844","A0A1B0GQX3","CTXND2","A0A1B0GV90"
"3845","P63034","CYTH2","Q99418"
"3846","P56546","CTBP2","P56545"
"3847","P97792","CXADR","P78310"
"3848","O88544","COPS4","Q9BT78"
"3849","O08967","CYTH3","O43739"
"3850","Q80YW0","CYTH4","Q9UIA0"
"3851","Q8K129","CTXN1","P60606"
"3852","P58686","BBLN","Q9BUW7"
"3853","Q9QXA1","CYHR1","Q6ZMK1"
"3854","P28230","GJB1","P08034"
"3855","Q9DBI2","BBS10","Q8TAM1"
"3856","Q5SUD9","BBS12","Q6ZW61"
"3857","Q99JA0","CALCA","P06881"
"3858","Q99JA0","CALCA","P01258"
"3859","Q02248","CTNNB1","P35222"
"3860","G3UW36","CFAP97D2","A0A1B0GU71"
"3861","Q8C5T8","CCDC113","Q9H0I3"
"3862","P56203","CTSW","P56202"
"3863","Q6PFY9","CDC14B","O60729"
"3864","P45481","CREBBP","Q92793"
"3865","Q8VHI4","CARF","Q8N187"
"3866","Q8K354","CBR3","O75828"
"3867","Q6P8Y1","CAPSL","Q8WWF8"
"3868","E9Q1U1","CCDC171","Q6TFL3"
"3869","Q8BMK5","CCDC184","Q52MB2"
"3870","P70408","CDH10","Q9Y6N8"
"3871","Q8CDN8","CCDC38","Q502W7"
"3872","Q9D3A8","NOS1AP","O75052"
"3873","Q3ULW6","CCDC33","Q8N5R6"
"3874","P47934","CRAT","P43155"
"3875","Q99PF4","CDH23","Q9H251"
"3876","Q8C4J0","CCDC60","Q8IWA6"
"3877","Q3UW68","CAPN13","Q6MZZ7"
"3878","Q8BVC4","CCDC68","Q9H2F9"
"3879","Q6ZQ38","CAND1","Q86VP6"
"3880","Q8C1F4","CSGALNACT2","Q8N6G5"
"3881","O35457","CCRL2","O00421"
"3882","Q64433","HSPE1","P61604"
"3883","P56484","CCR8","P51685"
"3884","Q9CZ62","CEP97","Q8IW35"
"3885","Q8R4E9","CDT1","Q9H211"
"3886","Q6IQY5","CEP70","Q8NHQ1"
"3887","Q0VFX2","CFAP157","Q5JU67"
"3888","Q4KKZ1","CFAP107","Q8N1D5"
"3889","Q9JJ66","CDC20","Q12834"
"3890","Q9CZS3","CEP20","Q96NB1"
"3891","Q6ZQ06","CEP162","Q5TB80"
"3892","Q9WTK2","CDYL","Q9Y232"
"3893","Q9D0M2","CDCA7","Q9BWT1"
"3894","Q3V0B4","CFAP65","Q6ZU64"
"3895","Q00322","CEBPD","P49716"
"3896","D3YVL2","CFAP70","Q5T0N1"
"3897","Q9Z2V9","CCNI","Q14094"
"3898","Q3UY96","CFAP74","Q9C0B2"
"3899","Q99L04","DHRS1","Q96LJ7"
"3900","Q07763","CD244","Q9BZW8"
"3901","O88874","CCNK","O75909"
"3902","Q6ZPR1","CFAP97","Q9P2B7"
"3903","O88876","DHRS3","O75911"
"3904","P11440","CDK1","P06493"
"3905","Q91WG7","DGKG","P49619"
"3906","Q8VE98","CD276","Q5ZPR3"
"3907","P10855","CCL3","P10147"
"3908","Q9JHU3","CDK20","Q8IZL9"
"3909","Q9Z207","DIAPH3","Q9NSV4"
"3910","Q9D0A0","DET1","Q7L5Y6"
"3911","Q8QZR8","CCNQ","Q8N1B3"
"3912","Q61129","CFI","P05156"
"3913","Q03366","CCL7","P80098"
"3914","Q8C5W0","CLMN","Q96JQ2"
"3915","Q3TDN0","DISP1","Q96F81"
"3916","Q6PCW6","CNFN","Q9BYD5"
"3917","Q8CIP5","DISP2","A7MBM2"
"3918","Q8K445","CLRN1","P58418"
